date,priceUsd,circulatingSupply
2024-06-08 01:00:00,69458.3484864507403894,19709196.0000000000000000
2024-06-08 02:00:00,69522.1585001592894718,19709262.0000000000000000
2024-06-08 03:00:00,69477.6876433039052767,19709262.0000000000000000
2024-06-08 04:00:00,69494.4401665553758126,19709262.0000000000000000
2024-06-08 05:00:00,69355.4786375496381241,19709262.0000000000000000
2024-06-08 06:00:00,69357.6121448244999485,19709331.0000000000000000
2024-06-08 07:00:00,69372.3401054695259144,19709331.0000000000000000
2024-06-08 08:00:00,69604.0308354754016124,19709381.0000000000000000
2024-06-08 09:00:00,69476.7178769801141090,19709381.0000000000000000
2024-06-08 10:00:00,69471.3037870886217329,19709381.0000000000000000
2024-06-08 11:00:00,69508.9818515966356751,19709437.0000000000000000
2024-06-08 12:00:00,69440.4183590615115564,19709437.0000000000000000
2024-06-08 13:00:00,69402.1501997033464676,19709437.0000000000000000
2024-06-08 14:00:00,69459.4017420435800199,19709437.0000000000000000
2024-06-08 15:00:00,69522.7445319401525739,19709496.0000000000000000
2024-06-08 16:00:00,69503.5325523111232147,19709496.0000000000000000
2024-06-08 17:00:00,69444.7809592403911888,19709578.0000000000000000
2024-06-08 18:00:00,69514.3372382676395293,19709578.0000000000000000
2024-06-08 19:00:00,69541.2018416037974863,19709578.0000000000000000
2024-06-08 20:00:00,69542.9161982034372535,19709578.0000000000000000
2024-06-08 21:00:00,69457.4840565885877741,19709665.0000000000000000
2024-06-08 22:00:00,69509.7317643853100199,19709665.0000000000000000
2024-06-08 23:00:00,69448.0293031290722818,19709721.0000000000000000
2024-06-09 00:00:00,69373.6006404863225509,19709721.0000000000000000
2024-06-09 01:00:00,69384.3845225063253763,19709721.0000000000000000
2024-06-09 02:00:00,69405.2712488892801485,19709721.0000000000000000
2024-06-09 03:00:00,69242.5724059932454855,19709771.0000000000000000
2024-06-09 04:00:00,69315.1607046489443870,19709771.0000000000000000
2024-06-09 05:00:00,69344.5120784144798920,19709787.0000000000000000
2024-06-09 06:00:00,69422.7746810016467155,19709787.0000000000000000
2024-06-09 07:00:00,69497.3671176974611732,19709787.0000000000000000
2024-06-09 08:00:00,69409.5227869803881474,19709787.0000000000000000
2024-06-09 09:00:00,69469.0064715110739801,19709787.0000000000000000
2024-06-09 10:00:00,69492.0378626791196883,19709787.0000000000000000
2024-06-09 11:00:00,69454.3328301905742783,19709903.0000000000000000
2024-06-09 12:00:00,69499.6185917055411180,19709903.0000000000000000
2024-06-09 13:00:00,69769.7252507508829771,19709903.0000000000000000
2024-06-09 14:00:00,69533.6715877163486892,19709903.0000000000000000
2024-06-09 15:00:00,69598.9756277121945764,19709968.0000000000000000
2024-06-09 16:00:00,69639.7808313937645844,19709968.0000000000000000
2024-06-09 17:00:00,69732.0388956267488148,19710003.0000000000000000
2024-06-09 18:00:00,69781.2529214139571059,19710003.0000000000000000
2024-06-09 19:00:00,69857.7451679919113647,19710003.0000000000000000
2024-06-09 20:00:00,69830.6490578807658039,19710003.0000000000000000
2024-06-09 21:00:00,69763.0085499017404793,19710071.0000000000000000
2024-06-09 22:00:00,69808.5697811282219234,19710071.0000000000000000
2024-06-09 23:00:00,69676.8235067104261462,19710168.0000000000000000
2024-06-10 00:00:00,69708.2923093849944970,19710168.0000000000000000
2024-06-10 01:00:00,69587.5610883249260155,19710168.0000000000000000
2024-06-10 02:00:00,69686.9675204610081594,19710168.0000000000000000
2024-06-10 03:00:00,69765.9555720855554964,19710246.0000000000000000
2024-06-10 04:00:00,69664.4698135993747411,19710246.0000000000000000
2024-06-10 05:00:00,69727.9461887446651037,19710290.0000000000000000
2024-06-10 06:00:00,69593.8882700888366880,19710290.0000000000000000
2024-06-10 07:00:00,69484.4187041044927041,19710290.0000000000000000
2024-06-10 08:00:00,69344.6682715262747132,19710290.0000000000000000
2024-06-10 09:00:00,69500.2255174632468931,19710371.0000000000000000
2024-06-10 10:00:00,69488.0134076807945393,19710371.0000000000000000
2024-06-10 11:00:00,69492.3840944777280641,19710390.0000000000000000
2024-06-10 12:00:00,69483.0599153157092975,19710390.0000000000000000
2024-06-10 13:00:00,69412.6837369130224111,19710390.0000000000000000
2024-06-10 14:00:00,69420.2395976180056427,19710390.0000000000000000
2024-06-10 15:00:00,69696.5641141785854166,19710418.0000000000000000
2024-06-10 16:00:00,70059.6173003328207695,19710418.0000000000000000
2024-06-10 17:00:00,70014.8783725887029733,19710496.0000000000000000
2024-06-10 18:00:00,70039.1038835362182463,19710496.0000000000000000
2024-06-10 19:00:00,69904.5037263494322758,19710496.0000000000000000
2024-06-10 20:00:00,69526.1866804488986680,19710496.0000000000000000
2024-06-10 21:00:00,69695.0248317308213940,19710543.0000000000000000
2024-06-10 22:00:00,69612.5481399515292868,19710543.0000000000000000
2024-06-10 23:00:00,69490.1806575860271293,19710543.0000000000000000
2024-06-11 00:00:00,69550.6963017089907444,19710618.0000000000000000
2024-06-11 01:00:00,69425.7059989951599347,19710618.0000000000000000
2024-06-11 02:00:00,68941.4558515540122788,19710618.0000000000000000
2024-06-11 03:00:00,68258.9076427873902967,19710618.0000000000000000
2024-06-11 04:00:00,68418.6254425397037588,19710653.0000000000000000
2024-06-11 05:00:00,68050.6964832617572070,19710653.0000000000000000
2024-06-11 06:00:00,67849.8138152948869494,19710731.0000000000000000
2024-06-11 07:00:00,67631.6131955121798279,19710731.0000000000000000
2024-06-11 08:00:00,67576.2789146300259754,19710731.0000000000000000
2024-06-11 09:00:00,67547.1754259773445213,19710731.0000000000000000
2024-06-11 10:00:00,67064.5984955392924494,19710781.0000000000000000
2024-06-11 11:00:00,66963.6013011746518852,19710846.0000000000000000
2024-06-11 12:00:00,66857.1422607740666835,19710846.0000000000000000
2024-06-11 13:00:00,67032.4614808609472293,19710846.0000000000000000
2024-06-11 14:00:00,66796.5044431962459254,19710846.0000000000000000
2024-06-11 15:00:00,66899.3810032403078074,19710846.0000000000000000
2024-06-11 16:00:00,66220.2018912722838206,19710859.0000000000000000
2024-06-11 17:00:00,66471.2552783831363261,19710859.0000000000000000
2024-06-11 18:00:00,66692.2845166224991272,19710950.0000000000000000
2024-06-11 19:00:00,67116.9517759788597480,19710950.0000000000000000
2024-06-11 20:00:00,67496.3783477154418118,19710993.0000000000000000
2024-06-11 21:00:00,67249.5580439836855076,19710993.0000000000000000
2024-06-11 22:00:00,67396.3833215738800585,19710993.0000000000000000
2024-06-11 23:00:00,67400.3161119168557510,19710993.0000000000000000
2024-06-12 00:00:00,67358.3489419940507791,19711006.0000000000000000
2024-06-12 01:00:00,67228.6838447542310552,19711006.0000000000000000
2024-06-12 02:00:00,67140.9151628717959667,19711075.0000000000000000
2024-06-12 03:00:00,67433.9713923828121729,19711075.0000000000000000
2024-06-12 04:00:00,67426.2898398662453289,19711075.0000000000000000
2024-06-12 05:00:00,67502.9626227805508297,19711075.0000000000000000
2024-06-12 06:00:00,67271.7355151938804074,19711146.0000000000000000
2024-06-12 07:00:00,67322.8754768466706762,19711146.0000000000000000
2024-06-12 08:00:00,67453.1547863073359726,19711146.0000000000000000
2024-06-12 09:00:00,67398.7385311564262654,19711209.0000000000000000
2024-06-12 10:00:00,67718.1662027595082722,19711209.0000000000000000
2024-06-12 11:00:00,67983.2352048974924907,19711209.0000000000000000
2024-06-12 12:00:00,67760.1794073100542328,19711209.0000000000000000
2024-06-12 13:00:00,69241.1231280322604813,19711265.0000000000000000
